Uncontacted,Being taught,Attending church,On date,Baptized
2999719,160,82,38,1
2999740,152,70,33,5
2999727,179,71,11,12
2999747,149,64,23,17
2999751,135,57,34,23
2999661,194,91,31,23
2999612,196,118,44,30
2999574,235,100,55,36
2999534,278,105,41,42
2999480,302,121,51,46
2999416,339,142,51,52
2999469,312,110,52,57
2999368,398,106,66,62
2999322,437,106,62,73
2999275,463,112,67,83
2999331,455,77,50,87
2999201,518,137,55,89
2999128,606,106,70,90
2998954,758,121,70,97
2998908,787,135,66,104
2998781,903,139,58,119
2998370,1370,85,51,124
2998197,1489,130,57,127
2998020,1590,159,100,131
2997920,1679,129,131,141
2997848,1726,141,132,153
2997782,1779,122,154,163
2997887,1702,107,133,171
2997881,1657,160,124,178
2997810,1796,104,105,185
2997574,1996,105,135,190
2997280,2241,157,127,195
2997340,2222,126,108,204
2997492,2073,123,98,214
2997455,2085,139,106,215
2997417,2086,145,133,219
2997488,2039,115,128,230
2997542,1955,143,124,236
2997698,1864,99,98,241
2997849,1684,155,61,251
2997962,1627,92,68,251
2997964,1597,100,87,252
2997826,1662,139,120,253
2997829,1676,119,120,256
2997805,1653,162,115,265
2997978,1458,176,106,282
2997981,1463,164,108,284
2997913,1525,152,126,284
2997945,1486,155,125,289
2997754,1428,155,365,298
2998186,1254,160,100,300
2998250,1161,155,125,309
2998378,1062,140,110,310
2998452,1038,120,75,315
2998525,942,140,75,318
2998524,966,90,95,325
2998517,931,130,90,332
2998595,951,60,50,344
2998567,893,115,75,350
2998583,859,120,85,353
2998594,885,65,100,356
2998681,822,45,90,362
2998628,799,120,85,368
2998728,709,120,60,383
2998767,663,120,65,385
2998767,649,115,80,389
2998748,677,85,100,390
2998799,610,110,85,396
2998850,544,130,75,401
2998911,552,80,35,422
2998850,514,140,70,426
2998847,517,120,85,431
2998730,534,180,120,436
2998743,489,200,125,443
2998842,426,165,115,452
2998926,427,115,60,472
2998866,428,135,90,481
2998834,374,195,110,487
2998722,493,195,100,490
2998669,529,190,100,512
2998641,555,175,100,529
2998582,597,190,85,546
2998565,612,180,90,553
2998463,635,240,100,562
2998431,700,190,110,569
2998318,780,220,105,577
2998162,943,200,115,580
2998144,982,180,90,604
2998108,1050,150,85,607
2998055,1048,190,95,612
2997989,1096,195,100,620
2998037,1097,155,85,626
2998161,1037,95,70,637
2998153,1066,70,65,646
