Uncontacted,Being taught,Attending church,On date,Baptized
2996719,160,82,38,3001
2996740,152,70,33,3005
2996727,179,71,11,3012
2996747,149,64,23,3017
2996751,135,57,34,3023
2996661,194,91,31,3023
2996612,196,118,44,3030
2996574,235,100,55,3036
2996534,278,105,41,3042
2996480,302,121,51,3046
2996416,339,142,51,3052
2996469,312,110,52,3057
2996368,398,106,66,3062
2996322,437,106,62,3073
2996275,463,112,67,3083
2996331,455,77,50,3087
2996201,518,137,55,3089
2996128,606,106,70,3090
2995954,758,121,70,3097
2995908,787,135,66,3104
2995781,903,139,58,3119
2995370,1370,85,51,3124
2995197,1489,130,57,3127
2995020,1590,159,100,3131
2994920,1679,129,131,3141
2994848,1726,141,132,3153
2994782,1779,122,154,3163
2994887,1702,107,133,3171
2994881,1657,160,124,3178
2994810,1796,104,105,3185
2994574,1996,105,135,3190
2994280,2241,157,127,3195
2994340,2222,126,108,3204
2994492,2073,123,98,3214
2994455,2085,139,106,3215
2994417,2086,145,133,3219
2994488,2039,115,128,3230
2994542,1955,143,124,3236
2994698,1864,99,98,3241
2994849,1684,155,61,3251
2994962,1627,92,68,3251
2994964,1597,100,87,3252
2994826,1662,139,120,3253
2994829,1676,119,120,3256
2994805,1653,162,115,3265
2994978,1458,176,106,3282
2994981,1463,164,108,3284
2994913,1525,152,126,3284
2994945,1486,155,125,3289
2994754,1428,155,365,3298
2995186,1254,160,100,3300
2995250,1161,155,125,3309
2995378,1062,140,110,3310
2995452,1038,120,75,3315
2995525,942,140,75,3318
2995524,966,90,95,3325
2995517,931,130,90,3332
2995595,951,60,50,3344
2995567,893,115,75,3350
2995583,859,120,85,3353
2995594,885,65,100,3356
2995681,822,45,90,3362
2995628,799,120,85,3368
2995728,709,120,60,3383
2995767,663,120,65,3385
2995767,649,115,80,3389
2995748,677,85,100,3390
2995799,610,110,85,3396
2995850,544,130,75,3401
2995911,552,80,35,3422
2995850,514,140,70,3426
2995847,517,120,85,3431
2995730,534,180,120,3436
2995743,489,200,125,3443
2995842,426,165,115,3452
2995926,427,115,60,3472
2995866,428,135,90,3481
2995834,374,195,110,3487
2995722,493,195,100,3490
2995669,529,190,100,3512
2995641,555,175,100,3529
2995582,597,190,85,3546
2995565,612,180,90,3553
2995463,635,240,100,3562
2995431,700,190,110,3569
2995318,780,220,105,3577
2995162,943,200,115,3580
2995144,982,180,90,3604
2995108,1050,150,85,3607
2995055,1048,190,95,3612
2994989,1096,195,100,3620
2995037,1097,155,85,3626
2995161,1037,95,70,3637
2995153,1066,70,65,3646
